name	Name corrected
AGAPITOS E	AGAPITOS EB
ALBERINK I	ALBERINK IB
ALMIRALL J	ALMIRALL JR
BAES C	BAES CAV
BAI R	BAI R-F
BANFIELD S	BANFIELD SJ
BATCHELDER D	BATCHELDER DN
BECK K	BECK KR
BIDE M	BIDE MJ
BIERMANN T	BIERMANN TW
BLAKE S	BLAKE SL
BOWEN A	BOWEN AM
CARR D	CARR DJ
CHURCH SARA E	CHURCH SE
COULSON S	COULSON SA
COYLE T	COYLE TJ
DAWSON L	DAWSON LA
DE LA OSSA MÁF	DE LA OSSA MAF
DUAN Y	DUAN Y-J
FERGUSSON S	FERGUSSON SM
FLORY J	FLORY JF
FURST S	FURST SJ
GARCIÁ-RUIZ C	GARCIA-RUIZ C
GARCÍA-RUIZ C	GARCIA-RUIZ C
GASON FGCSJ	GASON F
GIROUD CH	GIROUD C
GRIEVE M	GRIEVE MC
GRIGORESCU C-E-A	GRIGORESCU CEA
GUAN D	GUAN D-W
GUNNING S	GUNNING SP
HE G	HE G-L
JUNKER H	JUNKER HP
KIESER J	KIESER JA
KONIG H-G	KONIG HG
KUBO S	KUBO S-I
LEIJENHORST H	LEIJENHORST HAL
LI D	LI D-R
LI S	LI S-X
LIM BIN ABDULLAH AF	ABDULLAH AFL
LIU J	LIU J-T
LUO P	LUO P-B
MABBOTT A	MABBOTT AJ
MENZEL EROLAND	MENZEL ER
NEIL WADDELL J	WADDELL JN
NIC DAEID N	DAEID NN
ORTÍZ-REY JA	ORTIZ-REY JA
PASQUALUCCI CA	PASQUALUCCI CAG
PELTON W	PELTON WR
PELUSO J	PELUSO JS
PIGOU P	PIGOU PE
REEDY B	REEDY BJ
REICHARD E	REICHARD EJ
ROBERTS H	ROBERTS HL
ROUX C	ROUX CP
RUDER T	RUDER TD
RUIFROK A	RUIFROK ACC
SAVERIO ROMOLO F	ROMOLO FS
SHEN Y	SHEN Y-W
STONEY D	STONEY DA
SUÁREZ-MIER MP	SUAREZ-MIER MP
TAYLOR M	TAYLOR MC
TEMPLETON JE	TEMPLETON JEL
THALI M	THALI MJ
THOMPSON R	THOMPSON RC
TRONCOSO J	TRONCOSO JC
VOELCKER N	VOELCKER NH
VOWLES G	VOWLES GH
W?S-GUBA?A J	WAS-GUBALA J
WA?S J	WAS J
WA?S-GUBA?A J	WAS-GUBALA J
WANG Z	WANG Z-Y
WANG ZY	WANG Z-Y
WAS-GUBA?A J	WAS-GUBALA J
WATSON N	WATSON ND
WIGGINS K	WIGGINS KG
XU YC	XU Y-C
YU T	YU T-S
ZHANG H	ZHANG H-D
ZHAO X	ZHAO X-L
ZHAO Z	ZHAO Z-Q
ZHOU Y	ZHOU Y-W
ZHOU YW	ZHOU Y-W
ZI?BA-PALUS J	ZIEBA-PALUS J
ZIEGAN J	ZIEGAN JB
ALI TT	ALI LI
ARREBOLA-LIEBANAS J	ARREBOLA-LIEBANAS JF
BARTICK E	BARTICK EG
BIN ABDULLAH AFL	LIM BIN
BOTTRILL R	BOTTRILL RS
BROWN R	BROWN RS
BUTTERWO.A	BUTTERWOTH A
CARSWELL S	CARSWELLL S
COOKS RG	COOK R
DE LA OSSA MAF	DE LA OSSA MAAF
EHRENREICH T	EHRENREICH T 
KRIER G	KRIEG G
MARKHAM PN	MARHNAM PN
NICDAEID N	DAEID NN
PALENIK S	PALENIK CS
PETER S	PETERS S
